route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FR_AV01,TRENITALIA_AV,Frecciarossa,Milano - Roma - Napoli,Servizio alta velocità,1,https://www.trenitalia.com,E60012,FFFFFF
FR_AV02,TRENITALIA_AV,Frecciarossa,Torino - Milano - Roma - Napoli - Salerno,Servizio alta velocità,1,https://www.trenitalia.com,E60012,FFFFFF
FR_AV03,TRENITALIA_AV,Frecciarossa,Venezia - Bologna - Firenze - Roma,Servizio alta velocità,1,https://www.trenitalia.com,E60012,FFFFFF
FA_AV01,TRENITALIA_AV,Frecciargento,Roma - Bari - Lecce,Servizio alta velocità,1,https://www.trenitalia.com,C0C0C0,000000
FA_AV02,TRENITALIA_AV,Frecciargento,Roma - Pescara - Bari,Servizio alta velocità,1,https://www.trenitalia.com,C0C0C0,000000
FB_AV01,TRENITALIA_AV,Frecciabianca,Milano - Genova,Servizio alta velocità,1,https://www.trenitalia.com,FFFFFF,000000
FB_AV02,TRENITALIA_AV,Frecciabianca,Milano - Venezia - Trieste,Servizio alta velocità,1,https://www.trenitalia.com,FFFFFF,000000
IC_001,TRENITALIA,IC,Milano - Roma,Intercity,1,https://www.trenitalia.com,0066CC,FFFFFF
IC_002,TRENITALIA,IC,Torino - Roma,Intercity,1,https://www.trenitalia.com,0066CC,FFFFFF
IC_003,TRENITALIA,IC,Roma - Napoli - Bari,Intercity,1,https://www.trenitalia.com,0066CC,FFFFFF
IC_004,TRENITALIA,IC,Bologna - Ancona - Pescara - Bari,Intercity,1,https://www.trenitalia.com,0066CC,FFFFFF
IC_005,TRENITALIA,IC,Roma - Reggio Calabria,Intercity,1,https://www.trenitalia.com,0066CC,FFFFFF
IC_006,TRENITALIA,IC,Milano - Genova,Intercity,1,https://www.trenitalia.com,0066CC,FFFFFF
IC_007,TRENITALIA,IC,Venezia - Roma,Intercity,1,https://www.trenitalia.com,0066CC,FFFFFF
IC_008,TRENITALIA,IC,Bologna - Firenze - Roma,Intercity,1,https://www.trenitalia.com,0066CC,FFFFFF
ICN_001,TRENITALIA,ICN,Milano - Roma - Napoli - Palermo,Intercity Notte,1,https://www.trenitalia.com,000080,FFFFFF
ICN_002,TRENITALIA,ICN,Torino - Roma - Bari - Lecce,Intercity Notte,1,https://www.trenitalia.com,000080,FFFFFF
REG_LAZ01,TRENITALIA,FL1,Roma - Fiumicino Aeroporto,Regionale Lazio,1,https://www.trenitalia.com,00AA00,FFFFFF
REG_LAZ02,TRENITALIA,FL2,Roma - Viterbo,Regionale Lazio,1,https://www.trenitalia.com,00AA00,FFFFFF
REG_LAZ03,TRENITALIA,FL3,Roma - Bracciano - Viterbo,Regionale Lazio,1,https://www.trenitalia.com,00AA00,FFFFFF
REG_LAZ04,TRENITALIA,FL4,Roma - Castelli Romani,Regionale Lazio,1,https://www.trenitalia.com,00AA00,FFFFFF
REG_LAZ05,TRENITALIA,FL5,Roma - Civitavecchia,Regionale Lazio,1,https://www.trenitalia.com,00AA00,FFFFFF
